investigation_type,event_date,country,injury_severity,aircraft_damage,make,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_uninjured,weather_condition,month,year,survival_type,total_injured,state
Accident,1982-01-01,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Personal,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,PULLMAN
Accident,1982-01-01,United States,Non-Fatal,Substantial,CESSNA,No,2.0,reciprocating,Business,0.0,2.0,IMC,1,1982,Non-Fatal,0.0,EAST HANOVER
Accident,1982-01-01,United States,Non-Fatal,Substantial,NORTH AMERICAN,No,1.0,reciprocating,Personal,0.0,0.0,IMC,1,1982,Non-Fatal,3.0,JACKSONVILLE
Accident,1982-01-01,United States,Non-Fatal,Substantial,PIPER,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,HOBBS
Accident,1982-01-01,United States,Non-Fatal,Substantial,BEECH,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,TUSKEGEE
Accident,1982-01-02,United States,Non-Fatal,Destroyed,BELLANCA,No,1.0,reciprocating,Personal,0.0,0.0,IMC,1,1982,Non-Fatal,1.0,HOMER
Accident,1982-01-02,United States,Fatal,Destroyed,CESSNA,No,1.0,reciprocating,Personal,1.0,0.0,IMC,1,1982,Fatal,0.0,HEARNE
Accident,1982-01-02,United States,Fatal,Destroyed,NAVION,No,1.0,reciprocating,Personal,1.0,0.0,IMC,1,1982,Fatal,0.0,CHICKASHA
Accident,1982-01-02,United States,Fatal,Destroyed,BEECH,No,1.0,reciprocating,Personal,2.0,0.0,IMC,1,1982,Fatal,0.0,LITTLE ROCK
Accident,1982-01-02,United States,Non-Fatal,Destroyed,ENSTROM,No,1.0,reciprocating,Personal,0.0,1.0,IMC,1,1982,Non-Fatal,0.0,MIDWAY
Accident,1982-01-02,United States,Fatal,Destroyed,CESSNA,No,1.0,reciprocating,Personal,3.0,0.0,VMC,1,1982,Fatal,0.0,SKWENTA
Accident,1982-01-02,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,GALETON
Accident,1982-01-02,United States,Non-Fatal,Substantial,SMITH,No,1.0,reciprocating,Personal,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,MIAMI
Accident,1982-01-02,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Instructional,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,YPSILANTI
Accident,1982-01-02,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Personal,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,CHARLOTTE
Accident,1982-01-02,United States,Non-Fatal,Substantial,BELL,No,1.0,turbo shaft,Unknown,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,CHAMBLEE
Incident,1982-01-03,United States,Fatal,Minor,PIPER,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Fatal,0.0,VAN NUYS
Accident,1982-01-03,United States,Fatal,Destroyed,GRUMMAN,No,1.0,reciprocating,Personal,2.0,0.0,IMC,1,1982,Fatal,1.0,10 NM W LEE VIN
Accident,1982-01-03,United States,Fatal,Destroyed,CESSNA,No,2.0,reciprocating,Business,8.0,0.0,IMC,1,1982,Fatal,0.0,ASHLAND
Accident,1982-01-03,United States,Fatal,Destroyed,BEECHCRAFT,No,2.0,reciprocating,Personal,1.0,0.0,IMC,1,1982,Fatal,0.0,PINEHURST
Accident,1982-01-03,United States,Non-Fatal,Substantial,MAULE,No,1.0,reciprocating,Personal,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,WHITE PLAINS
Accident,1982-01-03,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Non-Fatal,1.0,COCOA
Accident,1982-01-03,United States,Non-Fatal,Substantial,BELLANCA,No,1.0,reciprocating,Personal,0.0,0.0,VMC,1,1982,Non-Fatal,2.0,SAN CLEMENTINE
Accident,1982-01-03,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Personal,0.0,0.0,VMC,1,1982,Non-Fatal,2.0,FORT WORTH
Accident,1982-01-03,United States,Non-Fatal,Substantial,AIR TRACTOR,No,1.0,reciprocating,Ferry,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,GREENOUGH
Accident,1982-01-04,United States,Fatal,Destroyed,PIPER,No,1.0,reciprocating,Personal,4.0,0.0,VMC,1,1982,Fatal,0.0,PLEASANT HILL
Accident,1982-01-04,United States,Fatal,Destroyed,PIPER,No,2.0,reciprocating,Unknown,2.0,0.0,VMC,1,1982,Fatal,0.0,NEAR LAS VEGAS
Accident,1982-01-04,United States,Fatal,Destroyed,CESSNA,No,2.0,reciprocating,Personal,2.0,0.0,IMC,1,1982,Fatal,2.0,FORT WAYNE
Accident,1982-01-04,United States,Non-Fatal,Substantial,PIPER,No,1.0,reciprocating,Personal,0.0,0.0,VMC,1,1982,Non-Fatal,2.0,ESTANCIA
Accident,1982-01-05,United States,Fatal,Destroyed,NAVION,No,1.0,reciprocating,Business,3.0,0.0,IMC,1,1982,Fatal,0.0,RAMONA
Accident,1982-01-05,United States,Fatal,Destroyed,PIPER,No,1.0,reciprocating,Personal,1.0,0.0,IMC,1,1982,Fatal,0.0,BLACK CANYON CI
Accident,1982-01-05,United States,Fatal,Destroyed,PIPER,No,2.0,reciprocating,Unknown,2.0,0.0,VMC,1,1982,Fatal,0.0,ITHACA
Incident,1982-01-05,United States,Fatal,Minor,ROCKWELL,No,1.0,reciprocating,Business,0.0,1.0,VMC,1,1982,Fatal,0.0,PENSACOLA
Accident,1982-01-05,United States,Non-Fatal,Substantial,PIPER,No,1.0,reciprocating,Business,0.0,1.0,VMC,1,1982,Non-Fatal,1.0,LONOKE
Accident,1982-01-05,United States,Non-Fatal,Substantial,PIPER,No,1.0,reciprocating,Ferry,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,GASTONIA
Accident,1982-01-05,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Unknown,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,SPRINGERVILLE
Accident,1982-01-05,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Unknown,0.0,0.0,VMC,1,1982,Non-Fatal,2.0,BETHEL
Accident,1982-01-06,United States,Non-Fatal,Substantial,CESSNA,Yes,2.0,reciprocating,Executive/corporate,0.0,3.0,VMC,1,1982,Non-Fatal,0.0,ROLLA
Accident,1982-01-06,United States,Non-Fatal,Substantial,AEROSPATIALE,No,1.0,turbo shaft,Business,0.0,6.0,VMC,1,1982,Non-Fatal,0.0,MAMMOTH LAKES
Accident,1982-01-06,United States,Non-Fatal,Substantial,BEECH,No,1.0,reciprocating,Personal,0.0,3.0,VMC,1,1982,Non-Fatal,0.0,JACKSON
Accident,1982-01-06,United States,Non-Fatal,Substantial,CESSNA,No,1.0,reciprocating,Instructional,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,PAXTON
Accident,1982-01-06,United States,Non-Fatal,Substantial,MOONEY,No,1.0,reciprocating,Business,0.0,2.0,VMC,1,1982,Non-Fatal,0.0,HILTON HEAD
Accident,1982-01-06,United States,Non-Fatal,Substantial,BOEING,No,1.0,reciprocating,Unknown,0.0,1.0,IMC,1,1982,Non-Fatal,1.0,NEAR BAKERSFIEL
Accident,1982-01-07,United States,Fatal,Destroyed,CESSNA,No,1.0,reciprocating,Unknown,2.0,0.0,VMC,1,1982,Fatal,0.0,HELENA
Accident,1982-01-07,United States,Non-Fatal,Substantial,BEECH,No,1.0,reciprocating,Personal,0.0,1.0,VMC,1,1982,Non-Fatal,0.0,WESTMINISTER
